 Date       , Amount  , Payment Method ,description,category
 2024-08-01 ,€ 45.30, Debit Card     , Albert Heijn        ,Boodschappen     
 2024-08-01 ,€ 89.99, iDEAL          , Zalando             ,Kleding      
 2024-08-01 ,€ 12.50, Debit Card     , NS                  ,Vervoer
 2024-08-01 ,€ 65.20, Debit Card     , Restaurant De Kas   ,Dineren
 2024-08-01 ,€ 25.00, iDEAL          , Pathé Cinemas       ,Amusement 
 2024-08-01 ,€ 120.00, iDEAL          , Vattenfall          ,Nutsvoorzieningen     
 2024-08-01 ,€ 15.75, Debit Card     , Etos                ,Gezondheidszorg    
 2024-08-01 ,€ 19.99, iDEAL          , Basic-Fit           ,Geschiktheid       
 2024-08-01 ,€ 4.50, Debit Card     , Starbucks           ,Dineren
 2024-08-01 ,€ 13.99, Tikkie         , Netflix             ,Amusement 
 2024-08-02 ,€ 45.30, Debit Card     , Jumbo               ,Boodschappen     
 2024-08-02 ,€ 89.99, iDEAL          , H&M                 ,Kleding      
 2024-08-02 ,€ 12.50, Debit Card     , NS                  ,Vervoer
 2024-08-02 ,€ 65.20, Debit Card     , Burger King         ,Dineren
 2024-08-02 ,€ 25.00, iDEAL          , Cinema City         ,Amusement 
 2024-08-02 ,€ 120.00, iDEAL          , Eneco               ,Nutsvoorzieningen     
 2024-08-02 ,€ 15.75, Debit Card     , Kruidvat            ,Gezondheidszorg    
 2024-08-02 ,€ 19.99, iDEAL          , Fit For Free        ,Geschiktheid       
 2024-08-02 ,€ 4.50, Debit Card     , CoffeeCompany       ,Dineren
 2024-08-02 ,€ 13.99, Tikkie         , Spotify             ,Amusement 
 2024-08-03 ,€ 45.30, Debit Card     , Lidl                ,Boodschappen     
 2024-08-03 ,€ 89.99, iDEAL          , Uniqlo              ,Kleding      
 2024-08-03 ,€ 12.50, Debit Card     , NS                  ,Vervoer
 2024-08-03 ,€ 65.20, Debit Card     , Vapiano             ,Dineren
 2024-08-03 ,€ 25.00, iDEAL          , Kinepolis           ,Amusement 
 2024-08-03 ,€ 120.00, iDEAL          , Greenchoice         ,Nutsvoorzieningen     
 2024-08-03 ,€ 15.75, Debit Card     , DA                  ,Gezondheidszorg    
 2024-08-03 ,€ 19.99, iDEAL          , HealthCity          ,Geschiktheid       
 2024-08-03 ,€ 4.50, Debit Card     , Dunkin' Donuts      ,Dineren
 2024-08-03 ,€ 13.99, Tikkie         , Disney+             ,Amusement 
 2024-08-04 ,€ 45.30, Debit Card     , Coop                ,Boodschappen     
 2024-08-04 ,€ 89.99, iDEAL          , Zara                ,Kleding      
 2024-08-04 ,€ 12.50, Debit Card     , NS                  ,Vervoer
 2024-08-04 ,€ 65.20, Debit Card     , La Place            ,Dineren
 2024-08-04 ,€ 25.00, iDEAL          , Vue Cinemas         ,Amusement 
 2024-08-04 ,€ 120.00, iDEAL          , Essent              ,Nutsvoorzieningen     
 2024-08-04 ,€ 15.75, Debit Card     , Trekpleister        ,Gezondheidszorg    
 2024-08-04 ,€ 19.99, iDEAL          , AnytimeGeschiktheid     ,Geschiktheid       
 2024-08-04 ,€ 4.50, Debit Card     , Bagels & Beans      ,Dineren
 2024-08-04 ,€ 13.99, Tikkie         , HBO Max             ,Amusement 
 2024-08-05 ,€ 45.30, Debit Card     , Albert Heijn        ,Boodschappen     
 2024-08-05 ,€ 89.99, iDEAL          , Zalando             ,Kleding      
 2024-08-05 ,€ 12.50, Debit Card     , NS                  ,Vervoer
 2024-08-05 ,€ 65.20, Debit Card     , McDonald's          ,Dineren
 2024-08-05 ,€ 25.00, iDEAL          , Pathé Cinemas       ,Amusement 
 2024-08-05 ,€ 120.00, iDEAL          , Vattenfall          ,Nutsvoorzieningen     
 2024-08-05 ,€ 15.75, Debit Card     , Etos                ,Gezondheidszorg    
